Name,Total_posts,Follower,Following,Verified,Meta_descr,Page_links
actor_avinash_official,537,39k,204,0,"Actor, Model & Dancer Fashion Enthusiast ♦️Optimist♦️ DM for paid collaboration",https://www.instagram.com/actor_avinash_official/
africangallerybay,666,31.8k,20,0,Go join our youtube team now 👇🏽👇🏽,https://www.instagram.com/africangallerybay/
arianerein,143,21.3k,"1,704",0,⛅ hey there! it's ariane 📩 arianerein.collab@gmail.com ✨ new vlog ☽︎,https://www.instagram.com/arianerein/
andreea__87,"1,069",26.7k,"3,229",0,"#naturelovers 🌿#fashion 👒#beauty💄 -DM for collab 📩 📧andreea.calinoschi@novaoptic.ro Nurse @novaoptic.clinicaoftalmologica Mommy of 2❤Andrei&Maya,wife",https://www.instagram.com/andreea__87/
rayuaniklan,"1,174",38.7k,394,0,"Menikmati kreativitas iklan di indonesia. konten dominasi oleh dunia otomotif yg berasal Dari dokumentasi pribadi, kiriman kontributor & dunia maya.",https://www.instagram.com/rayuaniklan/
endorserofficial,47,90.9k,"1,145",0,"KOL Service Ecosystem ""Everyone Unique"" PT. Anttara Media Indonesia Join talent LINK ⬇️",https://www.instagram.com/endorserofficial/
paulinnefreire,"1,193",75.6k,498,0,📍Manhattan Natural beauty • Fashion • High end fabric enthusiast PR Clarisse@merkate.com.br,https://www.instagram.com/paulinnefreire/
narsobsession,406,44.3k,243,0,"Vienna, Austria 📍 Inquires: contactallcaughtup@gmail.com Biggest fan of @narsissist #nars #narsissist #narsobsession",https://www.instagram.com/narsobsession/
theturnerhouseproject,204,106k,964,0,Sarah & James Renovating a 1930s semi 🏡 What have we done? Parenting adventures: @theunmumsymum Email: theturnerhouseproject@gmail.com,https://www.instagram.com/theturnerhouseproject/
sweatsandthecity,"1,700",106k,"1,160",0,"BY ELIZABETH & DALE. Your go-to health, wellness + class review destination ~ est. 2016. SWEAT WITH SWEATS 👇🏻",https://www.instagram.com/sweatsandthecity/
playtime.messy.madness,607,33.3k,475,0,🇦🇺Teacher now enjoying play at home mum life👨‍👩‍👦‍👦 👶 M- 3 years old 👶B- 13 months old 💙💙 🍃DM to collaborate🍃,https://www.instagram.com/playtime.messy.madness/
sicily.island,851,21.3k,"1,215",0,This is a page full of Love for Sicily FB Sicily Island tag👉#sicilyisland Benvenuti nella splendida Sicilia.,https://www.instagram.com/sicily.island/
mattih23,960,24.5k,"6,028",0,"Per chi viaggia in direzione ostinata e contraria. 26/yo Based in Milan 📍 Sicily,Modica ☀️️ mattia.hichri@icloud.com",https://www.instagram.com/mattih23/
ashistudy,474,41.6k,124,0,"📍 YVR 🇨🇦🇯🇵🇫🇯 🎁 22 || a lost UNI student 👉🏼 my stationery shop @ashionery ☺️ links to @sudio, @personalplanner, and @skillshare",https://www.instagram.com/ashistudy/
cochastyle,"2,020",34.9k,"1,933",0,Cornelia Charlotte 🌹No Age is the New Black 🌹58📍🇩🇪 Aux 🌹Fashion 🌹 Travel 🌹Beauty mail@cochastyle.com #eyewearblogger #jewelryblogger,https://www.instagram.com/cochastyle/
